timestep,avg_ep_rew
2200.0,-1245.5075142398484
4400.0,-1271.3896703222888
6600.0,-1253.7305452622447
8800.0,-1329.4462778237857
11000.0,-1314.6479517134107
13200.0,-1242.645582731597
15400.0,-1249.176152238366
17600.0,-1235.8180485707803
19800.0,-1279.4895873258329
22000.0,-1231.7344945842635
24200.0,-1208.0047131672886
26400.0,-1294.4561632772775
28600.0,-1203.0111344853458
30800.0,-1284.7248395849035
33000.0,-1380.4249919293313
35200.0,-1268.0218339537125
37400.0,-1178.6396379624914
39600.0,-1167.1388804164328
41800.0,-1176.771780955455
44000.0,-1214.3155487927304
46200.0,-1246.455853456525
48400.0,-1281.681514725976
50600.0,-1177.0307906585138
52800.0,-1172.8443735182004
55000.0,-1100.1742672603912
57200.0,-1224.799980631534
59400.0,-1226.722742430357
61600.0,-1149.1871947513764
63800.0,-1116.0018285495862
66000.0,-1125.6900365548872
68200.0,-1083.293917744448
70400.0,-1070.661990937406
72600.0,-1063.6101652844568
74800.0,-1191.8268353246294
77000.0,-1109.9049339376988
79200.0,-1249.95276691168
81400.0,-1143.0903834929914
83600.0,-1145.7539862455048
85800.0,-1109.3533424561492
88000.0,-1008.6570512414412
90200.0,-1048.0045799702048
92400.0,-1034.624350030311
94600.0,-1076.2043630181458
96800.0,-1036.155744466961
99000.0,-962.8498476206412
101200.0,-1033.7536571303
103400.0,-987.8922155184507
105600.0,-1072.4545173839624
107800.0,-1020.4107680669306
110000.0,-1045.8898218888153
112200.0,-1080.0148767679082
114400.0,-1028.8249063452984
116600.0,-1002.8291326169339
118800.0,-1089.553585485646
121000.0,-1041.4161688025556
123200.0,-1052.985409930083
125400.0,-996.8644682270914
127600.0,-1116.0945864326948
129800.0,-991.1455860435867
132000.0,-1128.8658682705766
134200.0,-1006.675569642208
136400.0,-1110.811795707238
138600.0,-1062.025420394149
140800.0,-972.3065848997413
143000.0,-958.094368791235
145200.0,-978.0230096482144
147400.0,-946.9923731494374
149600.0,-1012.6725565178742
151800.0,-944.5309052930644
154000.0,-954.826037466107
