timestep,avg_ep_rew
1071.0,-348.0505579533229
2232.0,-455.5740228055649
3291.0,-329.5496879011613
4337.0,-301.72951187952066
5415.0,-331.41022749265227
6504.0,-356.34639118628263
7629.0,-412.17714897913885
8706.0,-383.5356878274783
9745.0,-348.6461207079928
10843.0,-276.57685348100773
11875.0,-215.77772870034497
12976.0,-225.41418340411073
14060.0,-329.7661152160848
15106.0,-377.9393785157307
16230.0,-264.0851498119292
17332.0,-350.4659745307059
18365.0,-361.7233279784657
19466.0,-209.41913416422437
20622.0,-265.2729059494588
21685.0,-303.0105022565581
22740.0,-286.65584844277896
23843.0,-248.82117280906178
24965.0,-290.71507413791437
26042.0,-367.6929665116745
27132.0,-260.87294276396983
28196.0,-203.94224271049734
29316.0,-251.52050211363542
30419.0,-178.82066736182637
31452.0,-306.49049648060304
32551.0,-299.2786819009607
33613.0,-229.61357333194215
34660.0,-240.2246916042584
35718.0,-213.10203034151965
36792.0,-325.81302212914215
37856.0,-153.99373968594108
38925.0,-137.67083347239588
39993.0,-204.93656795098505
41166.0,-276.45566845771293
42215.0,-267.6108984214985
43354.0,-275.69038110402664
44385.0,-245.31062961123143
45420.0,-303.6949759293708
46494.0,-210.30265830445583
47563.0,-273.9681179302727
48607.0,-240.07184871284957
49710.0,-243.0028465653248
50824.0,-148.88724542691781
51884.0,-240.96401319433022
52973.0,-241.30409369464147
54153.0,-235.97340296350356
55344.0,-256.241683816173
56401.0,-209.40269980998616
57442.0,-222.84475671266324
58540.0,-184.0355571093494
59597.0,-142.03547350691485
60677.0,-206.4076802667965
61714.0,-169.9473938710841
62768.0,-166.215120912896
63887.0,-142.62498123421608
64914.0,-235.43195556117774
66076.0,-165.93856122140446
67228.0,-195.9889266444369
68254.0,-235.73269150793172
69393.0,-233.71849605826438
70566.0,-208.7457921538282
71600.0,-288.6299179812392
72704.0,-142.54863352853002
73792.0,-231.8046268919794
74892.0,-185.64756037027553
75940.0,-277.6787592465336
76978.0,-182.72485091683558
78046.0,-225.33020836288034
79140.0,-124.9780598831519
80207.0,-136.68856476717212
81359.0,-203.19700989920938
82403.0,-178.32978267411943
83463.0,-257.3005010276403
84533.0,-167.77205615750665
85692.0,-229.13991391307178
86775.0,-182.2185902508621
87855.0,-177.84937881351857
88979.0,-172.6237321547353
90038.0,-214.14998559061786
91114.0,-136.55635235261516
92252.0,-201.84649497452844
93298.0,-150.04530414219224
94378.0,-188.96452981823373
95458.0,-176.93094283983405
96488.0,-155.4293499950264
97602.0,-143.60504037141456
98693.0,-152.24373399224027
99735.0,-200.5388650564393
100856.0,-214.11438558369983
101930.0,-91.20716414936072
102973.0,-170.47345833344792
103999.0,-159.76150914431807
105056.0,-131.04041715778249
106117.0,-163.12598113779862
107214.0,-180.8456095049823
108406.0,-126.36590167233354
109540.0,-140.80723260718665
110569.0,-138.7651377889949
111595.0,-133.05286424130884
112699.0,-147.0467386907208
113816.0,-205.2900506294929
114884.0,-147.51659777332
115916.0,-198.1291072859301
117072.0,-138.77527860570507
118105.0,-191.08588374387952
119151.0,-128.01504165751035
120242.0,-137.24648684538226
121299.0,-135.0097026016591
122327.0,-143.90045873041447
123410.0,-149.28960201472276
124509.0,-141.83416495385643
125591.0,-106.11615885154943
126691.0,-145.187285490887
127742.0,-157.6105689781181
128855.0,-172.22136592834735
129963.0,-136.82873239926246
131021.0,-148.9062307882424
132103.0,-81.41118637513674
133225.0,-164.0568001910831
134339.0,-107.63467625385987
135378.0,-108.95315246368425
136439.0,-102.08999603341111
137533.0,-148.6878193844595
138560.0,-124.95852060774169
139670.0,-220.0908664810128
140717.0,-130.95260778051477
141799.0,-144.4039445510524
143688.0,-125.73757141133899
144805.0,-143.02205379519768
145907.0,-131.14366184080114
147055.0,-111.04682473482745
148257.0,-82.7437307608378
149366.0,-136.60253599147796
150409.0,-178.51585758898494
151485.0,-113.70541255984827
152593.0,-164.35570223911458
153631.0,-90.885841097363
154712.0,-172.14857578857618
155789.0,-162.23873467527224
156945.0,-127.0236177073212
158108.0,-137.95019756864014
159179.0,-150.2287501745438
160211.0,-118.56517418404093
161314.0,-151.39500835050657
162405.0,-143.38200559681192
163470.0,-153.53961856799862
164555.0,-150.49377841921924
165654.0,-108.14205762845235
166691.0,-156.64196137818908
167760.0,-135.468174259222
168811.0,-120.3451020419446
169835.0,-147.46209583306262
170927.0,-98.9525720120374
172022.0,-152.33531378227656
173066.0,-111.45582123375223
174101.0,-103.65195669783104
175141.0,-138.79798957138556
176208.0,-113.79200495140678
177236.0,-135.54166838549597
178357.0,-160.95641294619105
179943.0,-74.37740029739327
180991.0,-95.52235193303507
182102.0,-114.28914739829614
183173.0,-124.5678730045925
184209.0,-138.17181077730436
185247.0,-85.53215796819065
186391.0,-122.38191129349066
187420.0,-129.28245104913555
188476.0,-102.46541030786086
189573.0,-118.17073830524109
190617.0,-128.08906211127413
191687.0,-116.08066288708801
192830.0,-157.5386975125366
193924.0,-116.03939337185007
195065.0,-97.38722145276053
196090.0,-112.36778700075956
197167.0,-129.2398233421632
198263.0,-103.18133452609767
199301.0,-102.01847586242546
200446.0,-143.56974409735906
201474.0,-138.6792278027993
202607.0,-143.82629594024326
203668.0,-124.02549518408087
204720.0,-113.76165545840453
205838.0,-136.2720154195178
206887.0,-134.3291275856272
208007.0,-165.1363150337976
209047.0,-82.27664498892842
210121.0,-165.1642807202086
211145.0,-128.04666636611134
212202.0,-148.59257380741494
213333.0,-102.41077179007146
214475.0,-92.93777549455743
215514.0,-142.8008966484531
216616.0,-150.46413315812222
217711.0,-90.58801381422184
218821.0,-91.35668574563846
219984.0,-145.78929599969445
221051.0,-112.08367789405837
222203.0,-122.98358121582069
223291.0,-148.88874625888548
224391.0,-125.14196519951136
225462.0,-143.84615889146997
226611.0,-128.80393086128973
227661.0,-122.50142931414484
228723.0,-103.67240503335158
229832.0,-110.32552314050376
230891.0,-112.78809599665489
231960.0,-103.09636388009599
233104.0,-112.50074037300543
234177.0,-95.51797765017743
235233.0,-122.87904287650792
236310.0,-98.16982725435595
237387.0,-103.63393638255464
238430.0,-114.45653641424195
240267.0,-127.49722746413256
241396.0,-120.1275849621162
242533.0,-96.20613291525486
243593.0,-89.2025134480338
244659.0,-88.6801155313356
245734.0,-30.142123606719068
246774.0,-140.98094603797182
247846.0,-119.53399845579504
248935.0,-101.15958118388771
250032.0,-135.5686998550147
251067.0,-111.29366333185062
252097.0,-118.41843288567885
253194.0,-134.43959194509335
254334.0,-102.9270031589197
255391.0,-100.58076975674683
256483.0,-136.52767446840545
257548.0,-129.6215885982587
258640.0,-159.30354274004665
259679.0,-113.92201200632842
260766.0,-100.70354490173223
261813.0,-108.79060840347582
262880.0,-143.16229879242866
263942.0,-112.07199258364578
264981.0,-91.91743811673798
266254.0,-121.04448353248058
267298.0,-93.72103880223
268398.0,-119.56228965712285
269424.0,-104.02956577407917
270460.0,-111.12409076949014
271507.0,-104.57073960496291
272626.0,-130.03079493825962
273688.0,-74.74921006799586
274727.0,-99.10116622829285
275842.0,-98.30560701567519
276937.0,-113.94590403475543
278085.0,-106.28914210134029
279150.0,-92.69727577571912
280230.0,-101.51434859641182
281257.0,-93.8206153990715
282378.0,-86.48203650940364
283441.0,-131.61144180085248
284505.0,-135.78065388404838
285631.0,-115.24924271987526
286714.0,-71.577459190158
287790.0,-181.50062627747008
288899.0,-116.70010143120888
289987.0,-93.88330044625474
291067.0,-85.6868558260748
292194.0,-128.82148021040558
293259.0,-90.03213181643706
294359.0,-87.13892862043497
295453.0,-109.18263480826367
296487.0,-93.89460612725298
297603.0,-113.48201896987561
298692.0,-79.68216952753959
299750.0,-100.03324682660285
300839.0,-101.96210354176296
301870.0,-64.99815003462113
302917.0,-100.42307949141242
303977.0,-101.80974766338814
305046.0,-81.23439269882192
306115.0,-82.74640631682362
307177.0,-74.24424329865384
308257.0,-94.25717030526177
309301.0,-97.42045112206554
310354.0,-101.99814453811047
311402.0,-100.26252058023758
312430.0,-84.41553864527674
313514.0,-12.63390500840963
314540.0,-84.26087482942361
315571.0,-108.61698137413258
316631.0,-85.16479510575249
317780.0,-42.30697402244979
318879.0,-83.78342476472656
319964.0,-94.81486184971605
321075.0,-96.8210932042305
322153.0,-87.77934443692187
323404.0,-103.4914628254146
324477.0,-109.03676955731196
325636.0,-91.82047784950574
326781.0,-92.29540866077699
327819.0,-107.10194180111999
328925.0,-90.09414031409212
330011.0,-103.19373259528405
331170.0,-81.10096594611876
332228.0,-57.5935952985144
333309.0,-99.9735418829184
334396.0,-67.37387630414499
335450.0,-103.36360315552707
336495.0,-62.54282507967282
337648.0,-76.06931565113594
338713.0,-87.26709751877192
339767.0,-103.07157053172934
340928.0,-81.78245326396906
341974.0,-85.17352580686942
343010.0,-75.45556353884733
344074.0,-77.32034615305878
345202.0,-111.88445549047476
346297.0,-69.48015396782233
347377.0,-112.92723744440906
348536.0,-69.08483182433262
349560.0,-69.7760401552867
350664.0,-58.270135623754825
351770.0,-83.04305558232686
352867.0,-68.4961536660778
354745.0,-96.51080155594249
355853.0,-62.86851638010282
357015.0,-70.78077080226547
358080.0,-79.23160222186225
359452.0,-93.08128607007893
360488.0,-75.84404060643416
361639.0,-61.856037413812835
362716.0,-86.17748130423186
363796.0,-78.49523196693018
364897.0,-60.745938731715434
365940.0,-44.13607215527424
367609.0,-87.47301938621163
368718.0,-56.43343968242705
369824.0,-82.8343188564209
370985.0,-94.81500940608862
372126.0,-81.44239941406394
373232.0,-61.81038902802464
374320.0,-58.787987089494436
375458.0,-101.84691805461695
376498.0,-75.20477892408195
377635.0,-48.20798077458868
378754.0,-95.52492349832706
379838.0,-57.104644422659035
380945.0,-92.92943277210027
382016.0,-61.3666132972941
383069.0,-75.25641286984472
384144.0,-54.25349470032166
385255.0,-81.3966972602911
386413.0,-59.16422435573773
387508.0,-66.07940279010319
388635.0,-61.92133897889905
389664.0,-42.335937240506446
390750.0,-67.62502134025739
391879.0,-81.94391540086029
392980.0,-98.06264571137508
394028.0,-41.292965690035004
395057.0,-45.733078590819915
396109.0,-77.38216358090213
397154.0,-57.12198648906438
398232.0,-84.08857060266355
399313.0,-44.82478526423332
400347.0,-60.207590079394976
401430.0,-87.68752103555477
402474.0,-50.85892388902284
403586.0,-92.13947566647171
404710.0,-76.36131276179965
405843.0,-22.198738737509174
406915.0,-131.83208684107953
407996.0,-60.04218981316944
409075.0,-62.93678089641738
410134.0,-80.02568801607607
411190.0,-62.02523701701653
412309.0,-63.318431688891906
413445.0,-41.645503333618066
414519.0,-24.71124407341842
415568.0,-47.9945115139023
416637.0,-33.1187906416848
417670.0,-29.13606510388808
418814.0,-66.43781013590701
419897.0,-56.77060988327956
420997.0,-65.76211312513503
422139.0,-74.57362116973839
423253.0,-39.46130544909945
424299.0,-73.75136326507518
425331.0,-21.96305145820792
426599.0,-154.07243459911365
428471.0,-41.98369751212621
429549.0,-42.44522175662483
430630.0,-61.29617719304851
431705.0,-63.248072357012276
432828.0,-51.23593251469897
433915.0,-52.181572582729835
434944.0,-68.21589595973413
436073.0,-54.40774311104686
437116.0,-115.63055955677433
438187.0,-27.71940405961696
439219.0,-72.85997666648828
440300.0,-68.1678167893969
441446.0,-15.226644605363044
442556.0,-36.268741440005826
443762.0,-32.437275872430426
445081.0,-126.84534167075837
446107.0,-23.908505058376264
447179.0,-47.114361012583444
448318.0,-37.34611737702954
449376.0,-41.27089826589847
450542.0,-86.21602773598782
451612.0,-59.943504602862276
452673.0,-55.19915405247381
453700.0,-38.57608712935691
454725.0,-76.09360748237596
455870.0,-199.5489562605926
457117.0,-60.89098112269089
458242.0,-17.16718558791397
459555.0,-142.16324616536335
461187.0,-27.29424918895267
462308.0,-76.49951910482842
463392.0,-89.66802256727728
464735.0,-123.48831920098208
466026.0,-98.5733817289751
467083.0,-40.67386676635455
468145.0,-91.09170067402265
469301.0,-51.25852235127174
470372.0,-60.30519940689994
471473.0,-78.28839888564686
472531.0,-73.76714327858225
474016.0,-114.30755829972856
475175.0,-103.10543612905101
476233.0,-75.44941564710982
477337.0,-92.0052420818248
478763.0,-11.045458636082063
479848.0,-38.25177485742948
481005.0,-10.322612638968074
482033.0,-91.01828713742735
483087.0,-69.1099192279499
484223.0,-105.3421852961905
485331.0,-16.209740652317926
487148.0,-58.93399350402967
488351.0,-40.37630741631709
489435.0,-62.88624735139249
490553.0,-69.26934495846065
491994.0,-59.21998669455236
493153.0,-31.514812773353665
494598.0,-32.612054811723894
496024.0,-49.41766114430491
497109.0,-112.30410637607766
498274.0,-14.753720050374973
499411.0,-49.04940144759635
500442.0,-23.37912464989767
501496.0,-35.62790995043083
502633.0,-99.86752603233072
503745.0,-29.479698485771518
504842.0,-37.992315279455276
505954.0,-4.84901040078958
507144.0,-26.365085174053956
508171.0,-36.04195113821767
509326.0,-30.08717121989256
510400.0,-43.279031213289414
511474.0,-27.639354897770453
513402.0,-26.893610982925637
514469.0,-52.179936074392515
515584.0,-10.42934055666047
516781.0,-30.453866945406403
517862.0,-92.6219370946101
519184.0,-140.52779475312582
520225.0,-38.739308981502674
521361.0,-27.943782828327368
522427.0,-47.04043242729582
523545.0,-46.65968267810332
525464.0,-23.207095620583537
526571.0,-32.95230618633255
527774.0,-35.60036148110698
528832.0,-33.58597076387899
529902.0,-36.238972209576445
530957.0,-89.04412128693289
532038.0,-72.63520259820129
533215.0,-21.65281061362248
534311.0,-23.017211093615078
535407.0,-47.674107615756135
536472.0,-17.403642384527235
537535.0,-53.994926000970004
538563.0,-119.68561378770752
539632.0,-98.90203280215084
540726.0,4.708068525737958
541765.0,-49.59240390533908
542827.0,-46.533788169365586
543879.0,-101.38583986581791
545013.0,-26.686251344435895
