timestep,avg_ep_rew
2200.0,-1241.4858526836078
4400.0,-1432.0954703222917
6600.0,-1246.6387882048496
8800.0,-1202.0484843194865
11000.0,-1122.6087724358897
13200.0,-1259.880159326457
15400.0,-1271.932327751652
17600.0,-1224.5505011202536
19800.0,-1263.6851135865575
22000.0,-1236.39887347577
24200.0,-1371.7527865786062
26400.0,-1344.2705586720178
28600.0,-1261.4508517238473
30800.0,-1135.137221100766
33000.0,-1173.747229695429
35200.0,-1185.9174958342626
37400.0,-1434.4808947597876
39600.0,-1244.1294953616723
41800.0,-1299.7818987063442
44000.0,-1316.926403156772
46200.0,-1328.7015421458402
48400.0,-1074.3921168155048
50600.0,-1047.7336929133362
52800.0,-1176.3758884668885
55000.0,-1125.1211423469158
57200.0,-1185.5578247440683
59400.0,-1023.1606471755554
61600.0,-1163.3809623626328
63800.0,-1149.6188881881562
66000.0,-1090.5620471010093
68200.0,-1161.8158389320572
70400.0,-1094.96636066228
72600.0,-1260.487095419533
74800.0,-999.4826357299994
77000.0,-1214.7118359107808
79200.0,-1190.9103349340785
81400.0,-1199.4532074339195
83600.0,-1179.6521518781194
85800.0,-1133.4813207156026
88000.0,-1439.8600435271094
90200.0,-1187.1616179671712
92400.0,-1221.4111137835616
94600.0,-1329.836319203519
96800.0,-1358.4341541110566
99000.0,-1268.2787401958274
101200.0,-1226.4755557639733
103400.0,-1178.7913782941375
105600.0,-1117.4417068166813
107800.0,-1090.3441441420773
110000.0,-1210.888636262033
112200.0,-1040.2915614805195
114400.0,-1274.2016116992772
116600.0,-1049.9604709515163
118800.0,-1117.1860863835182
121000.0,-1366.982008348871
123200.0,-1033.0023128078406
125400.0,-1265.643189395452
127600.0,-1105.251291778306
129800.0,-1287.1236163411193
132000.0,-1060.1268980298903
134200.0,-1205.5246003930229
136400.0,-1065.1842827002906
138600.0,-1209.2014297810672
140800.0,-1160.9862345181127
143000.0,-1159.52260962138
145200.0,-1254.8916278490497
147400.0,-1123.361928707298
149600.0,-1143.470808008661
151800.0,-1132.480605494655
154000.0,-1258.9376550624052
156200.0,-1251.1071936768074
158400.0,-1275.937004443647
160600.0,-1114.6220925347227
162800.0,-1187.9209301259384
165000.0,-1154.9012832356946
167200.0,-1193.539309589582
169400.0,-1138.6315100683446
171600.0,-1201.9623224966315
173800.0,-1131.0867381662736
176000.0,-1205.8775988526997
178200.0,-1159.5123487544906
180400.0,-1252.2177674073193
182600.0,-1167.216240561
184800.0,-1130.4538951723232
187000.0,-1155.2394999456571
189200.0,-1284.2130458704423
191400.0,-1338.5916522322989
